did,group_id,records
paddy_harvestor_45,0,0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|11050;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0
paddy_harvestor_7,0,0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|10303;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0
paddy_harvestor_77,0,0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|4563;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0
wheat_1_harvestor_127,0,0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|13275;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0
paddy_harvestor_62,0,0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|8447;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0
paddy_harvestor_38,0,0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|8445;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0
corn_harvestor_113,0,13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|13263;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0
corn_harvestor_105,0,0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|15286;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0
paddy_harvestor_13,0,0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0|10678;0
paddy_harvestor_34,0,0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|4012;0|4012;0|4012;0|4012;0|4012;0|4012;0|4012;0|4012;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0|0;0
